date,campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,inline_link_click_ctr,cpm,installs,video_3s,cost_per_install,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,currency
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,Speak English with Loora AI-360 X 640-2026-07-09-0709ca4563c4eca4ac2d8c3eddce329a-outro.mp4,619,31,29,0,0,,19967.741935,,12,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,Speak English with Loora AI-720 X 1280-2026-07-09-5983b7d903f76504ff8822a4da49f499-outro.mp4,27275,789,697,14,1.774398,1.774398,34569.074778,1,268,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,Talkpal - AI Language Learning-1280 X 720-2026-07-09-5c1bf5965f3b7fd92ec9caac41896fca-outro.mp4,1337,49,47,4,8.163265,10.204082,27285.714286,,16,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,Speak English with Loora AI-720 X 1280-2026-07-09-7559b9ae91c2f7e4bcbc69b018941320-outro.mp4,174,7,6,1,14.285714,14.285714,24857.142857,,4,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,MySivi AI English Speaking App-720 X 720-2026-07-09-16aebec4533126cfdecb0cfda3fc9560-outro.mp4,34,2,2,0,0,,17000,,,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,Pimsleur _ Language Learning-360 X 360-2026-07-09-04df90c6ec8b2a379e55c5003e47dfb9-outro.mp4,76,7,6,0,0,,10857.142857,,1,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,Talkpal - AI Language Learning-640 X 360-2026-07-09-72de2f92089c9912ac76cf64686d3bb5-outro.mp4,5338,228,181,9,3.947368,4.385965,23412.280702,,106,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,English Tutor - Learn English-360 X 540-2026-07-09-6205592570d8f12e560118f86bb19aa1-outro.mp4,470,19,19,0,0,,24736.842105,,2,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,English Tutor - Learn English-360 X 640-2026-07-09-7ac163c277ebf7c0c1ccf1414bb5d58b-outro.mp4,1564,58,54,1,1.724138,1.724138,26965.517241,,14,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All_SAYA_S7_SKIT_H1_US_META_clean,0,0,0,0,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All_SAYA_S7_SKIT_H2_US_META_clean,0,0,0,0,,,,3,,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All_SAYA_S3_UGC_H1_US_META_clean,0,0,0,0,,,,1,,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative_SAYA_S3_UGC_H1_US_TIKTOK_clean,45833,5913,5536,62,1.048537,1.065449,7751.226112,26,1127,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative_SAYA_S5_UGC_H1_US_META_clean,71701,10846,9492,143,1.318458,1.327678,6610.824267,42,54,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,New App promotion Ad,36674,1841,1202,15,0.814775,0.814775,19920.695274,5,,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,Text Translate Chat Translator-360 X 640-2026-07-07-265964d50a4ba4bb50dad3dffc4295c2-outro.mp4,2786,92,69,6,6.521739,5.434783,30282.608696,,36,,UNKNOWN,UNKNOWN,UNKNOWN,VND
