date,campaign_name,country,spend,impressions,clicks,installs,currency
2026-07-05,Say_Global_Auto_Install_050726_All,SC,17,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,SL,2190,180,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,SB,678,35,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,SO,12083,898,20,5,VND
2026-07-05,Say_Global_Auto_Install_050726_All,ZA,2649,39,3,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,SS,7978,669,10,2,VND
2026-07-05,Say_Global_Auto_Install_050726_All,LK,3485,241,4,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,SR,232,8,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,SZ,210,16,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,SY,7949,1382,12,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,TJ,423,49,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,TZ,2848,130,3,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,TH,1679,13,1,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,TL,1791,273,2,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,TG,118,24,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,TO,80,5,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,TT,221,6,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,TN,5870,273,9,4,VND
2026-07-05,Say_Global_Auto_Install_050726_All,TR,3102,20,5,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,TM,553,46,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,TV,27,1,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,UG,853,58,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,AE,433,6,1,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,US,34,1,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,UZ,1556,94,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,VU,211,15,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,VE,3507,150,5,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,VN,1476,29,1,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,YE,4258,639,8,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,ZM,3862,214,2,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,ZW,2910,114,3,1,VND
2026-07-05,Say_Global_Auto_Install_060726_All,AF,1821,259,3,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,DZ,3573,226,1,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,AO,94,12,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,AR,62,4,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,AM,5,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,AZ,13,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,BD,3653,223,5,2,VND
2026-07-05,Say_Global_Auto_Install_060726_All,BZ,19,2,1,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,BJ,192,7,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,BT,471,41,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,BO,14,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,BW,100,10,1,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,BR,176,4,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,BN,29,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,BF,841,7,2,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,BI,66,16,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,KH,312,8,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,CM,485,13,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,TD,163,9,1,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,CL,180,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,CN,0,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,CO,150,5,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,CR,60,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,CD,58,11,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,DO,224,8,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,EC,124,2,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,EG,2709,45,2,1,VND
2026-07-05,Say_Global_Auto_Install_060726_All,GQ,3,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,ER,16,2,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,ET,3281,273,9,1,VND
2026-07-05,Say_Global_Auto_Install_060726_All,FM,74,4,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,FJ,218,19,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,GM,4,2,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,GH,233,4,1,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,GT,40,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,GN,17,5,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,GW,2,2,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,GY,60,3,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,HT,113,23,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,HN,83,3,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,IN,12398,1209,14,5,VND
2026-07-05,Say_Global_Auto_Install_060726_All,ID,1478,32,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,IQ,1059,44,2,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,CI,85,4,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,JM,1,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,JO,137,4,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,KE,893,39,2,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,KI,105,6,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,KW,27,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,KG,161,7,1,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,LA,151,4,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,LB,157,2,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,LS,101,5,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,LR,224,20,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,LY,605,38,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,MG,865,79,2,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,MW,1721,122,3,1,VND
2026-07-05,Say_Global_Auto_Install_060726_All,MY,1,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,MV,34,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,ML,175,5,1,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,MR,30,4,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,MU,162,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,MN,44,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,MA,190,15,1,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,MZ,133,10,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,MM,406,10,1,1,VND
2026-07-05,Say_Global_Auto_Install_060726_All,NP,1912,224,1,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,NZ,74,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,NI,167,11,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,NE,2,3,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,NG,1054,34,1,1,VND
2026-07-05,Say_Global_Auto_Install_060726_All,OM,214,2,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,PK,10398,813,18,5,VND
2026-07-05,Say_Global_Auto_Install_060726_All,PS,9,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,PG,324,43,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,PH,960,23,1,1,VND
2026-07-05,Say_Global_Auto_Install_060726_All,CG,111,6,1,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,RW,105,21,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,LC,13,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,VC,18,2,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,WS,59,7,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,ST,47,3,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,SA,159,3,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,SN,55,8,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,SC,0,1,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,SL,171,15,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,SX,3,2,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,SB,160,18,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,SO,2401,102,2,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,ZA,205,2,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,SS,458,41,0,,VND
