date,campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,inline_link_click_ctr,cpm,installs,video_3s,cost_per_install,quality_ranking,engagement_rate_ranking,conversion_rate_ranking
2026-06-28,Cardia_Value_US_260626_Install,Cardia_Value_US_SouthUS_260626_Install_W_45,Cardia_Value_US_260626_Install_W_45_CAR_A1_UGC_H1_US_clean - Copy,40561,750,654,52,6.933333,7.733333,54081.333333,2,24,,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2026-06-28,Cardia_Value_US_260626_Install,Cardia_Value_US_SouthUS_260626_Install_M_45,Cardia_Value_US_SouthUS_260626_Install_M_45_CAR_A4_UGC_H1_US_clean,137597,1860,1295,179,9.623656,10.698925,73976.88172,15,466,,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2026-06-28,Cardia_Value_US_260626_Install,Cardia_Value_US_SouthUS_260626_Install_M_45,Cardia_Value_US_260626_Install_W_45_CAR_A1_UGC_H1_US_clean - Copy,105626,1735,1169,180,10.37464,11.181556,60879.538905,9,136,,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2026-06-28,Cardia_Global_Value_Roas_260626_All,Cardia_Global_Value_Roas_260626_All,Cardia_Adr_Global_Value_Roas_240626_All,1225000,25579,24318,491,1.919543,2.01728,47890.847961,13,7084,,ABOVE_AVERAGE,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Value_Install_260626_All,Cardia_Global_Value_Install_260626_All,Cardia_Adr_Global_Value_Install_240626_All_Creative01,77108,4631,3779,167,3.606133,3.735694,16650.399482,22,25,,AVERAGE,AVERAGE,AVERAGE
2026-06-28,Cardia_Global_Value_Install_260626_All,Cardia_Global_Value_Install_260626_All,Cardia_Adr_Global_Value_Install_240626_All_CAR_A1_UGC_H1_US_clean,21460,864,778,45,5.208333,5.208333,24837.962963,5,59,,AVERAGE,AVERAGE,AVERAGE
2026-06-28,Cardia_Global_Value_Install_260626_All,Cardia_Global_Value_Install_260626_All,Cardia_Adr_Global_Value_Install_240626_All_CAR_A4_UGC_H2_US_clean,20977,1228,1059,41,3.338762,3.664495,17082.247557,7,94,,AVERAGE,AVERAGE,AVERAGE
2026-06-28,Cardia_Global_Value_Install_260626_All,Cardia_Global_Value_Install_260626_All,Cardia_Adr_Global_Value_Install_240626_All_CAR_A4_UGC_H1_US_clean,16817,2007,1735,18,0.896861,0.946687,8379.172895,3,108,,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2026-06-28,Cardia_Global_Value_Install_260626_All,Cardia_Global_Value_Install_260626_All,Cardia_Adr_Global_Value_Install_240626_All_CAR_A2_UGC_H1_US_clean,14554,1117,1019,29,2.59624,2.775291,13029.54342,4,51,,AVERAGE,AVERAGE,AVERAGE
2026-06-28,Cardia_Global_Value_Install_260626_All,Cardia_Global_Value_Install_260626_All,Cardia_Adr_Global_Value_Install_240626_All_CAR_A6_UGC_H1_EN_202606221143_clean,105103,5161,4824,108,2.092618,2.247626,20364.851773,33,1840,,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2026-06-28,Cardia_Global_Value_Install_260626_All,Cardia_Global_Value_Install_260626_All,Cardia_Adr_Global_Value_Install_240626_All_CAR_A6_UGC_H2_EN_202606221322_clean,186633,10318,9196,200,1.93836,1.957744,18088.098469,57,3494,,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2026-06-28,Cardia_Global_Value_Install_260626_Diabetes,Cardia_Global_Value_Install_260626_Diabetes,Cardia_Global_Value_Install_280626_Diabetes_CAR_A7_UGC_H1_US_clean,13593,302,284,15,4.966887,4.966887,45009.933775,4,36,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Value_Install_260626_Diabetes,Cardia_Global_Value_Install_260626_Diabetes,Cardia_Global_Value_Install_280626_Diabetes_CAR_A7_UGC_H2_US_clean,53133,1990,1763,90,4.522613,4.623116,26700,14,544,,ABOVE_AVERAGE,AVERAGE,ABOVE_AVERAGE
2026-06-28,Cardia_Global_Value_Install_260626_Diabetes,Cardia_Global_Value_Install_260626_Diabetes,Cardia_Global_Value_Install_280626_Diabetes_CAR_A7_UGC_H1_EN_clean,17651,664,628,22,3.313253,3.162651,26582.831325,1,104,,AVERAGE,AVERAGE,ABOVE_AVERAGE
2026-06-28,Cardia_Global_Value_Install_260626_Diabetes,Cardia_Global_Value_Install_260626_Diabetes,Cardia_Global_Value_Install_280626_Diabetes_CAR_A7_UGC_H2_EN_clean,70136,2686,2451,100,3.723008,3.834698,26111.690246,16,820,,AVERAGE,AVERAGE,ABOVE_AVERAGE
2026-06-28,Cardia_Roas_India_280626_Mass,Cardia_Roas_India_280626_Mass,Cardia_Roas_India_280626_Mass_CAR_A6_UGC_H2_EN_202606221322_clean,59398,587,552,50,8.517888,8.858603,101189.097104,9,38,,AVERAGE,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Roas_India_280626_Mass,Cardia_Roas_India_280626_Mass,Cardia_Roas_India_280626_Mass_CAR_A2_UGC_H1_EN_202606221042_clean,84152,538,480,54,10.037175,11.33829,156416.356877,14,72,,AVERAGE,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Roas_India_280626_Mass,Cardia_Roas_India_280626_Mass,Cardia_Roas_India_280626_Mass_CAR_A6_UGC_H1_EN_202606221143_clean,48996,546,498,32,5.860806,6.593407,89736.263736,3,62,,BELOW_AVERAGE_35,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Roas_India_280626_Mass,Cardia_Roas_India_280626_Mass,Cardia_Roas_India_280626_Mass_CAR_A3_UGC_H2_EN_clean,44604,685,631,24,3.50365,3.50365,65115.328467,2,166,,AVERAGE,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Roas_India_280626_Mass,Cardia_Roas_India_280626_Mass,Cardia_Roas_India_280626_Mass_ Man_celebrating_World_Cup_goal_202606232334_clean,65286,1131,1036,44,3.890363,3.97878,57724.137931,18,231,,AVERAGE,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Auto_Roas_280626_All,Cardia_Global_Value_Roas_280626_All,Cardia_Adr_Global_Value_Roas_280626_All,64255,559,542,45,8.050089,8.050089,114946.332737,10,54,,AVERAGE,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Auto_Roas_280626_All,Cardia_Global_Value_Roas_280626_All,Cardia_Global_Value_Roas_280626_All,218313,1517,1366,272,17.930125,18.523401,143911.00857,30,,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Auto_Roas_280626_Diabetes,Cardia_Global_Auto_Roas_280626_Diabetes,Cardia_Global_Auto_Roas_260626_Diabetes_CAR_A7_UGC_H1_EN_clean,61544,842,763,34,4.038005,4.513064,73092.63658,5,154,,BELOW_AVERAGE_35,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Auto_Roas_280626_Diabetes,Cardia_Global_Auto_Roas_280626_Diabetes,Cardia_Global_Auto_Roas_280626_Diabetes_CAR_A7_UGC_H1_US_clean,37251,221,200,19,8.597285,8.597285,168556.561086,3,22,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Auto_Roas_280626_Diabetes,Cardia_Global_Auto_Roas_280626_Diabetes,Cardia_Global_Auto_Roas_260626_Diabetes_CAR_A7_UGC_H2_US_clean,117801,1249,1182,73,5.844676,6.405124,94316.253002,9,225,,AVERAGE,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Auto_Roas_280626_Diabetes,Cardia_Global_Auto_Roas_280626_Diabetes,Cardia_Global_Auto_Roas_260626_Diabetes_CAR_A7_UGC_H2_EN_clean,105311,772,692,53,6.865285,7.253886,136413.212435,8,137,,BELOW_AVERAGE_20,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Auto_Roas_290626_All_Creative,Cardia_Global_Auto_Roas_280626_All_Creative,Cardia_Global_Auto_Roas_280626_All_Creative_CAR_A6_UGC_H2_EN_202606221322_clean,104517,2204,2067,31,1.406534,1.406534,47421.506352,9,797,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Auto_Roas_290626_All_Creative,Cardia_Global_Auto_Roas_280626_All_Creative,Cardia_Global_Auto_Roas_280626_All_Creative_CAR_A6_UGC_H1_EN_202606221143_clean,58088,945,896,10,1.058201,1.058201,61468.783069,3,367,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Auto_Roas_290626_All_Creative,Cardia_Global_Auto_Roas_280626_All_Creative,Cardia_Global_Auto_Roas_280626_All_Creative_CAR_A2_UGC_H1_US_clean,5609,30,27,3,10,10,186966.666667,,9,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Auto_Roas_290626_All_Creative,Cardia_Global_Auto_Roas_280626_All_Creative,Cardia_Global_Auto_Roas_280626_All_Creative_CAR_A4_UGC_H2_US_clean,9072,88,86,5,5.681818,5.681818,103090.909091,2,15,,UNKNOWN,UNKNOWN,UNKNOWN
