date,ad_name,country,spend,impressions,clicks,installs,currency
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,NR,8,1,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,NP,6714,848,8,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,NI,370,20,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,NE,391,27,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,NG,5686,320,6,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,OM,414,9,2,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PK,32731,2724,51,10,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PW,8,1,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PS,1504,44,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PA,127,3,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PG,1461,130,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PY,31,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PE,124,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PH,3371,103,2,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PR,38,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,QA,188,7,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,CG,398,50,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,RW,863,130,1,,VND
